"1-indexed start position of item code in the full barcode. Example: for item code 3310100 in 3310100010009, start is 1.",موضع البداية (مُرقَّم من 1) لرمز العنصر في الباركود الكامل. مثال: لرمز العنصر 3310100 في 3310100010009، البداية هي 1.
"1-indexed start position of weight segment. Example: in 3310100010009, weight starts at position 8.",موضع البداية (مُرقَّم من 1) لمقطع الوزن. مثال: في 3310100010009، يبدأ الوزن في الموضع 8.
"<span class=\""h4\"">X POS</span>","<span class=\""h4\"">إكس بي أو إس</span>"
Accept Qty,قبول الكمية
Account,حساب
Account Head,رئيس حساب
Accounts Manager,مدير حسابات
Accounts User,حسابات المستخدمين
Add Filter,إضافة فلتر
Add New Supplier,إضافة مورد جديد
Add a new supplier to the system,إضافة مورد جديد إلى النظام
Add items to pay,إضافة عناصر للدفع
Add to Cart,أضف إلى السلة
Add/Edit Coupon Conditions,إضافة / تحرير شروط القسيمة
Additional Discount,خصم إضافي
Administrator,مدير
Against Name,مقابل الاسم
All,الكل
All Groups,كل المجموعات
All orders have been received,تم استلام جميع الطلبات
Allocated {0} across {1} payment(s).,تم تخصيص {0} عبر {1} دفعة (دفعات).
Allocation amount for payment {0} exceeds outstanding invoices,مبلغ التخصيص للدفع {0} يتجاوز الفواتير المستحقة
Amended From,معدل من
Amount,مبلغ
Amount Due,المبلغ المستحق
Amount exceeds POS Profile cash movement max amount.,المبلغ يتجاوز الحد الأقصى لحركة النقد في ملف نقاط البيع.
Amount must be greater than zero,يجب أن يكون المبلغ أكبر من صفر
Amount must be greater than zero.,يجب أن يكون المبلغ أكبر من صفر.
Applied,طلب
Apply,تطبيق
Apply For,تطبيق على
Apply For POS Profiles,تطبيق على ملفات نقاط البيع
Apply On,تنطبق على
Apply Rule On Brand,تطبيق القاعدة على العلامة التجارية
Apply Rule On Item Code,تطبيق القاعدة على رمز البند
Apply Rule On Item Group,تطبيق القاعدة على مجموعة العناصر
Apply Type,نوع التطبيق
Are you sure you want to delete this draft?,هل أنت متأكد أنك تريد حذف هذه المسودة؟
At least one item is required,مطلوب عنصر واحد على الأقل
Auto Apply,تطبيق تلقائي
Auto-receive,استلام تلقائي
Available Programs,البرامج المتاحة
Back Office Cash Account is fixed by POS Profile and cannot be overridden.,حساب النقد للمكتب الخلفي محدد بواسطة ملف نقاط البيع ولا يمكن تجاوزه.
Back Office Cash Account is required for cash deposit.,حساب النقد للمكتب الخلفي مطلوب للإيداع النقدي.
Back Office Cash Account must be a Cash account.,يجب أن يكون حساب النقد للمكتب الخلفي حساباً نقدياً.
Back to Sign In,العودة إلى تسجيل الدخول
Barcode,الرمز الشريطي
Barcode Printer,طابعة الباركود
Barcode Structure,هيكل الباركود
Barcode Type,نوع الباركود
Barcode lookup failed,فشل البحث عن الباركود
Barcode {0} already exists.,الباركود {0} موجود بالفعل.
Barcodes,الباركود
Brand,العلامة التجارية
Campaign,الحملة
Cancel,إلغاء
Cancelled,ألغيت
Cancelling submitted cash movements is disabled for this POS Profile.,إلغاء حركات النقد المقدمة معطل لهذا الملف التعريفي لنقاط البيع.
Cannot add item to cart,لا يمكن إضافة العنصر إلى السلة
Cart,عربة
Cart is empty,السلة فارغة
Cash Deposit,إيداع نقدي
Cash Deposit is disabled for this POS Profile.,الإيداع النقدي معطل لهذا الملف التعريفي لنقاط البيع.
Cash Movement,حركة نقدية
Cash Movement is disabled for this POS Profile.,حركة النقد معطلة لهذا الملف التعريفي لنقاط البيع.
Cash deposit recorded,تم تسجيل الإيداع النقدي
Cash flow tracking,تتبع التدفق النقدي
Cash movement is already cancelled,حركة النقد ملغاة بالفعل
Cash movement {0} not found,حركة النقد {0} غير موجودة
Cashier,أمين الصندوق
Change,تغيير
Change Given,المبلغ المُسلَّم كباقٍ
Check your email for reset instructions,تحقق من بريدك الإلكتروني لتعليمات إعادة التعيين
Clear All,مسح الكل
Clear cart,إفراغ السلة
Click on items to add them here,انقر على العناصر لإضافتها هنا
Click to change customer,انقر لتغيير العميل
Click to select customer,انقر لاختيار العميل
Client Request ID,معرّف طلب العميل
Close,أغلق
Close Shift,إغلاق النوبة
Closed,مغلق
Closing,الإغلاق
Closing Amount,مبلغ الإغلاق
Closing...,جارٍ الإغلاق...
Company,شركة
Company is required,الشركة مطلوبة
Company is required.,الشركة مطلوبة.
Company must match the selected POS Opening Shift company.,يجب أن تتطابق الشركة مع شركة نوبة فتح نقاط البيع المحددة.
Company must match the selected POS Profile company.,يجب أن تتطابق الشركة مع شركة ملف نقاط البيع المحددة.
Contact administrator to set up loyalty programs,تواصل مع المسؤول لإعداد برامج الولاء
Context is required,السياق مطلوب
Cost Center,مركز التكلفة
Cost Center is not set in pos profile {0},مركز التكلفة غير محدد في ملف نقاط البيع {0}
Coupon,قسيمة
Coupon Based,قائم على القسيمة
Coupon Code,رمز الكوبون
Coupon Code Based,كود الكوبون
Coupon Description,وصف القسيمة
Coupon Name,اسم القسيمة
Coupon Type,نوع الكوبون
Coupon has expired,انتهت صلاحية القسيمة
Coupon is not valid for this customer,القسيمة غير صالحة لهذا العميل
Coupon is not yet valid,القسيمة غير صالحة بعد
Create New Supplier,إنشاء مورد جديد
Create Supplier,إنشاء مورد
Create items,إنشاء عناصر
Create suppliers,إنشاء موردين
Created By,تم الإنشاء بواسطة
Creating...,جارٍ الإنشاء...
Credit Note,إشعار دائن
Credit Note {0} has no remaining balance to allocate.,إشعار الدائن {0} لا يوجد به رصيد متبقٍ للتخصيص.
Credit note {0} is already fully allocated,إشعار الدائن {0} مخصص بالكامل بالفعل
Credit note {0} still has an unapplied balance of {1},إشعار الدائن {0} لا يزال يحمل رصيداً غير مطبق بقيمة {1}
Currency,العملة
"Currency is not correct, party account currency is {party_account_currency} and transaction currency is {currency}",العملة غير صحيحة، عملة حساب الطرف هي {party_account_currency} وعملة المعاملة هي {currency}
Currency is required,العملة مطلوبة
Customer,العميل
Customer Group,مجموعة العميل
Customer Name,اسم العميل
Customer already exists,العميل موجود بالفعل
Customer is already enrolled in {0},العميل مسجل بالفعل في {0}
Customer is already enrolled in {0}. Please unenroll from the current program first.,العميل مسجل بالفعل في {0}. يرجى إلغاء التسجيل من البرنامج الحالي أولاً.
Customer is not enrolled in any loyalty program,العميل غير مسجل في أي برنامج ولاء
Customer is required,العميل مطلوب
Customer is required to create an address,العميل مطلوب لإنشاء عنوان
Customer locked for return,العميل مقفل للإرجاع
Customer mismatch: Return must be for the same customer ({0}) as the original invoice,عدم تطابق العميل: يجب أن يكون الإرجاع لنفس العميل ({0}) كما في الفاتورة الأصلية
Customer name is required,اسم العميل مطلوب
Customer {0} not found,العميل {0} غير موجود
"Customer, Company, Amount, and Mode of Payment are required",العميل والشركة والمبلغ وطريقة الدفع مطلوبة
Date,التاريخ
Date & Time,التاريخ والوقت
Default Loyalty Program,برنامج الولاء الافتراضي
Default Rate,السعر الافتراضي
Default Rate is required,السعر الافتراضي مطلوب
Delete draft,حذف المسودة
Deleting cancelled cash movements is disabled for this POS Profile.,حذف حركات النقد الملغاة معطل لهذا الملف التعريفي لنقاط البيع.
Delivery Charges,رسوم التوصيل
Delivery Charges POS Profile,ملف نقاط البيع لرسوم التوصيل
Deposit,إيداع
Deposit To,إيداع إلى
Description,وصف
Details,تفاصيل
Difference,فرق
Digits after decimal. Example: 1.000 => decimals 3.,أرقام بعد الفاصلة العشرية. مثال: 1.000 => عشريات 3.
